PASS:  255390 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255430 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255470 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255510 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255550 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255590 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255630 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255670 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255710 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255750 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255790 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255830 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255870 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255910 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255950 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  255990 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256030 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256070 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256110 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256150 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256190 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256230 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256270 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256310 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256350 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256390 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256430 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256470 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256510 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256550 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256590 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256630 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256670 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256710 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256750 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256790 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256830 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256870 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256910 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256950 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  256990 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257030 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257070 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257110 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257150 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257190 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257230 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257270 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257310 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257350 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257390 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
PASS:  257430 ns,      mode = 1,   i_adc_raw:    6, s_offset: 4, o_result:         2
